Top 500,Item Code,Item Description,Pack,Size Number,Unit of Measure,List cost,UPC - Commodity,UPC - Vendor,UPC - Case,UPC - Item,Destination,GL,Category,Vendor name,Length,Width,Height,Cube,Weight,QC Spec,Type of QC,Rank by category,Total Rank,Case UPC,ITEM UPC,Found in ItemMaster,GL - Category
1,470875,DOMINO GRANULATED SUGAR,10,64,OZ,21.78,0,49200,4550,4550,24:WINDSOR LOCKS,2000:GROCERY,SUGAR,DOMINO FOODS INC,19.9,9.3,7.7,0.82,40.4,0,,4,4,049200045503,049200045503,1,2000:GROCERY - SUGAR
2,458618,MARCAL 1000CT BT CLR POLY,1,2185.83,SF,13.72,0,43032,2208,2208,24:WINDSOR LOCKS,2000:GROCERY,TISSUE: TOILET,SOUNDVIEW PAPER COMPANY L,22,8.5,8.75,0.95,8.6,0,,5,5,043032022084,043032022084,1,2000:GROCERY - TISSUE: TOILET
3,462156,TUTTOROSSO TOMATO-CRSH W/BASIL,12,28,OZ,17.88,0,72940,75600,75600,24:WINDSOR LOCKS,2000:GROCERY,TOMATOES,RED GOLD LLC,16.26,12.01,4.88,0.55,26,180,Expiration,8,8,072940756002,072940756002,1,2000:GROCERY - TOMATOES
4,79875,DOMINO GRANULATED SUGAR,10,64,OZ,21.78,0,49200,4550,4550,1:BRATTLEBORO,2000:GROCERY,SUGAR,DOMINO FOODS INC,19.9,9.3,7.7,0.82,40.4,0,,9,9,049200045503,049200045503,1,2000:GROCERY - SUGAR
5,466903,ENFAMIL PREMIUM LIPIL POWDER,6,12.5,OZ,86.28,3,871,36502,36542,24:WINDSOR LOCKS,2000:GROCERY,BABY: FORMULA,C&S WHOLESALE GROCERS,12.52,8.19,4.37,0.26,5.71,170,Expiration,10,10,300871365025,300871365421,1,2000:GROCERY - BABY: FORMULA
6,449951,GOLD MEDAL ALL PUR FLOUR,8,80,OZ,19.04,0,16000,12610,10610,24:WINDSOR LOCKS,2000:GROCERY,BAKING: FLOUR,GENERAL MILLS FINANCE,16.5,11,7.5,0.79,40.8,180,Expiration,17,18,016000126107,016000106109,1,2000:GROCERY - BAKING: FLOUR
7,68903,ENFAMIL PREMIUM LIPIL POWDER,6,12.5,OZ,86.28,3,871,36502,36542,1:BRATTLEBORO,2000:GROCERY,BABY: FORMULA,C&S WHOLESALE GROCERS,12.52,8.19,4.37,0.26,5.71,170,Expiration,20,21,300871365025,300871365421,1,2000:GROCERY - BABY: FORMULA
8,477369,OCN SPRAY JELLIED CRNBERRY SCE,24,14,OZ,32.4,0,31200,1605,1605,24:WINDSOR LOCKS,2000:GROCERY,FRUIT: CANNED,OCEAN SPRAY,18.03,11.81,4.17,0.51,24.57,180,Expiration,21,22,031200016058,031200016058,1,2000:GROCERY - FRUIT: CANNED
9,461661,GRN GNT W/K CORN,24,15.25,OZ,26.4,0,20000,10473,10473,24:WINDSOR LOCKS,2000:GROCERY,CORN,GENERAL MILLS FINANCE,12.2,9.1,9.1,0.58,26.8,180,Expiration,22,23,020000104737,020000104737,1,2000:GROCERY - CORN
10,439244,MRCHN RAMEN CHICKEN,24,3,OZ,5.05,0,41789,90211,211,24:WINDSOR LOCKS,2000:GROCERY,SOUP: DRY,MARUCHAN INC,15.7,10,4.4,0.4,4.8,180,Expiration,25,27,041789902116,041789002113,1,2000:GROCERY - SOUP: DRY
11,92592,ARIZNA ARNLD PALMR HLF&HLF CNS,1,138,FO,3.5,6,13008,72592,72592,1:BRATTLEBORO,2000:GROCERY,JUICE: CANNED,ARIZONA BEVERAGES USA LLC,10.51,7.83,4.8,0.23,9.78,0,,28,30,613008725921,613008725921,1,2000:GROCERY - JUICE: CANNED
12,412136,YOO HOO 32PK #02028,1,208,FO,8.55,0,72350,2027,2027,24:WINDSOR LOCKS,2000:GROCERY,JUICE: ASCEPTIC,DR PEPPER SNAPPLE GROUP,13.07,8.23,4.88,0.3,15.27,120,Expiration,29,31,072350020274,072350020274,1,2000:GROCERY - JUICE: ASCEPTIC
