Item UPC,Top 500,ID,UPC,Item Description,Manufacturer,Brand,Distributor,GS1 Category,Pkg Manufacturer,Pkg Manufacturer Address,Pkg Manufacturer Phone,Pkg Manufacturer Email,Pkg Manufacturer URL,Pkg Distributor,Pkg Distributor Address,Pkg Distributor Phone,Pkg Distributor Email,Pkg Distributor URL,Marketing Description,Other Description,Units In Package,Packaging Type,Packaging Size,Package Information,Created,Last Updated
049200045503,1,6792,00049200045503,Domino Premium Pure Cane Granulated Sugar,"Domino Foods, Inc.",Domino,,(10000043) Sugar/Sugar Substitutes (Shelf Stable),,,,,,"Domino Foods, Inc","Yonkers, NY 10705",1-800-729-4840,,www.dominosugar.com,"Domino® Sugar.
Premium Pure Cane Granulated.
15 Calories Per Teaspoon.","Pure Cane Granulated.
Contains: Net Wt 4 lb (1.81 kg).
Approximately 9 Cups.
Questions or Comments? Call: 1-800-729-4840.
Domnio® Sugar is proud to be a presenting sponsor of share our strength's Great American Bake Sale®.
No Kid Hungry.
Do something sweet for a hungry child by joining Domino® sugar for share our strength's Great American Bake Sale. Hold a bake sale in your community and help ensure no Kid in America grows up hungry. Funds raised support share our strength's national and local efforts to end childhood hunger in America by 2015.
Learn more at: www.greatamericanbakesale.com.
Nearly 1 in 4 Children in America struggle with hunger.
That's almost 17 million Kids.
For more delicious recipes, visit: www.dominosugar.com.",1,BAG,4.0 LB,,02/14/2012,03/06/2012
043032022084,2,108204,00043032022084,Marcal Small Steps Bath Tissue - 20 CT,Marcal Manufacturing LLC,Marcal,,(10000375) Toilet Paper,,"Elmwood Park, NJ 07407-1401",,,www.marcalsmallsteps.com,,,,,,"Improved!
Now softer!
1000 sheets per roll.
20 rolls.
Longer lasting.
Septic Safe™.
Marcal®.
Saving trees since 1950.
Small Steps®.
A small, easy step to a Greener Earth®.
Bath tissue.
Saving millions of trees*.
With recycled fiber.
*Marcal® products save millions of trees annually.
20 bathroom tissue rolls.
195.7m2 (2106.9 sq ft).
1000 one-ply sheets.
10.4cm x 9.39cm (4.1in x 3.7in).","Works great & budget friendly.
Marcal® Small Steps® paper products contain the softness, absorbency, and strength needed to get the job done at a value you deserve.
Marcal® brand products help save millions of trees by using recycled fiber.
Being green can be easy and helps keep trash out of landfills.
We've been committed to making environmentally friendly paper products since 1950.
For over 60 years, Marcal® brand paper products have been made in Elmwood Park, New Jersey.
Environmental facts.
Recycled paper content - 100%.
New trees used - 0%.
Chlorine bleaching for whitening - 0%.
Added fragrances or dyes - 0%.
Products that are virtually lint free - 100%.
Quality performance - 100%.
Recycling since 1950 - 60+ years.
What's in your paper products?
Paper from paper not from Trees®.
Inner core is made from 100% recycled paper material.
Please recycle this wrapper.
Recycling programs for this package may not exist in your area.
www.marcalsmallsteps.com.
Consumer Affairs Department Soundview Paper Company LLC.
Please include package quality seal when writing.
©2012 Soundview Paper Company LLC.",20,PACKAGE,20.0 CT,,07/18/2013,07/31/2013
072940756002,3,106724,00072940756002,Tuttorosso New World Style Crushed Tomatoes with Basil,Red Gold Inc.,Tuttorosso,Red Gold LLC.,(10000206) Fruit Prepared/Processed (Shelf Stable),,,,,,"Red Gold, LLC","PO Box 83, Elwood, IN 46036",1-866-729-7187,,www.tuttorossotomatoes.com,"Tuttorosso® New World Style Crushed Tomatoes with Basil.
100% Natural.
See back panel for nutrition information.","Health information: 100% natural - no artificial colors, flavors, or preservatives.
The antioxidant lycopene is found naturally in tomatoes.
A fat free food.
Good source of Vitamin C.
A gluten free food.
Steel. Please recycle.
Inquiries? 1-866-729-7187.
www.tuttorossotomatoes.com.",1,CAN,28.0 OZ,,07/03/2013,07/22/2013
300871365421,5,131127,00300871365421,Enfamil Premium Infant Formula 0 - 12 Months,"Mead Johnson & Company, LLC.",Enfamil,,(10000575) Baby/Infant Formula (Shelf Stable),,"Evansville, IN 47121  U.S.A.",1-800-BABY123,,enfamil.com,,,,,,"Enfamil™ 0 - 12 Months Premium™ Infant Formula.
Natural Defense™ dual prebiotics.
Clinically proven*.
Triple Health Guard™.
Growth.
Brain & eye.
Immune system.
Trusted by moms & pediatricians.
1 infant formula.
Milk-based powder with iron.
*Studied before the addition of prebiotics.","Mead Johnson™ nutrition.
*A type of prebiotic.
**A source of Arachldonic Acid (ARA).
†A source of Docosahexaenoic Acid (DHA).
Filled by weight, not by volume; some settling may occur.
Makes approx. 90 fl oz.
This patented formula is available only from the Enfamil® brand.
Enfamil Premium® Infant has Natural Defense™ dual prebiotics for digestive health and provides three proven* benefits:
Growth:
Growth similar to breastfed infants through 12 months.
Brain & eye:
IQ & vision similar to the breastfed baby up to 4 years of age. DHA, as recommended by experts, promotes brain and eye development.
*Studied before the addition of prebiotics.
Immune system:
Helps support your baby's immune system.
Experts agree on the many benefits of breast milk. If you choose to use infant formula, ask your baby's doctor about Enfamil Premium infant.
Use by date on bottom of can.
Clinically proven* to support mental, visual, and immune system development.
If you have a question, we are here for you. Call us toll free: 1-800-BABY123, 8 am to 4:30 pm Monday-Saturday, central time. Or visit enfamil.com.
©2011 Mead Johnson & Company, LLC.",1,CONTAINER,12.5 OZ,,12/17/2013,01/07/2014
016000106109,6,20824,00016000106109,Gold Medal All-Purpose Flour,"General Mills, Inc.",Gold Medal,"General Mills Sales, Inc.",(10000203) Flour Cereal/Pulse (Shelf Stable),,,,,,"General Mills Sales, Inc","Minneapolis, MN 55440 USA",1-800-345-2443,,www.bettycrocker.com,"Gold Medal® All-Purpose Flour.
www.goldmedalflour.com.
Guaranteed premium quality.
Since 1880.
Enriched.
Bleached.
Presifted flour.
Over 125 years of baking success.","Gold Medal confidence:
It all began in 1866 when C.C. Washburn began operating his first flour mill, which produced far more barrels of flour than area bakers needed and was nicknamed ""Washburn's Folly."" Fourteen years later, Washburn entered his flour at the first miller's international exhibition in Cincinnati, Ohio, where it took the ""Gold Medal"" grand prize as well as the name of its esteemed award. Today, Gold Medal flour is America's best-selling flour, making ""Washburn's Folly"" a success.
Gold Medal still mills its own flour, just as it did over 125 years ago, blending the best premium hard and soft wheats from the heartland, providing the Gold Medal difference and consistency that home bakers have counted on for generations.
Visit www.goldmedalflour.com for more great recipes.
Join today and choose a school to support. Your designated school will receive earnings from box tops on over 800 packages, bonus box tops awarded online, qualifying purchases from the Box Tops Marketplace®, books purchased through the box tops reading room and items purchased off your My Class Essentials™ registry. With your help, we've earned over $300 million for our kids' schools.
Earn more at btfe.com.
The difference I can make.
©2010 General Mills.
The red spoon promise.
The red spoon is my promise of great taste, quality and convenience. This is a product you and your family will enjoy. I guarantee it.
1-800-345-2443 Mon.-Fri. 7:30 A.M. - 5:30 P.M. CT.
www.bettycrocker.com General Mills, Box 200, Minneapolis, MN 55440
Betty crocker.",1,BAG,5.0 LB,,02/10/2012,03/05/2012
031200016058,8,17809,00031200016058,Ocean Spray Jellied Cranberry Sauce,"Ocean Spray Cranberries, Inc.",Ocean Spray,"Ocean Spray Cranberries, Inc.",(10000280) Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Shelf Stable),,"A Grower Cooperative, Lakeville-Middleboro, Massachusetts 02349 USA",1-800-662-3263,,www.oceanspray.com,"Ocean Spray Cranberries, Inc","A Grower Cooperative, Lakeville-Middleboro, Massachusetts 02349 USA",1-800-662-3263,,www.oceanspray.com,Ocean Spray® Jellied Cranberry Sauce.,"As Ocean spray growers we've farmed our cranberry bogs for over 80 years. Ocean Spray cranberry sauce has been a tradition at our table for generations, and we hope you enjoy it too!
Made in the USA with North American cranberries.
www.oceanspray.com
Our commitment to quality:
We guarantee your complete satisfaction with our product or we will replace it. Please have entire package available when calling with any comments or questions, 1-800-662-3263, weekdays 9 AM to 4 PM EST.",1,CAN,14.0 OZ,,02/27/2012,04/20/2012
020000104737,9,35899,00020000104737,Green Giant Whole Kernal Sweet Corn,"General Mills, Inc.",Green Giant,"General Mills Sales, Inc.",(10000292) Vegetable Based Products Not Ready to Eat (Shelf Stable),,,,,,"General Mills Sales, Inc","Minneapolis, MN 55440 USA",1-800-998-9996,,www.greengiant.com,"Green Giant® Whole Kernel Sweet Corn.
Picked at the peak of Perfection®.","Our love for vegetables began over 100 years ago in Le Sueur, Minnesota.
Today, we still have fourth generation farmers who pick each crop at the peak of perfection.
That's how we make our vegetables unforgettable.
That's Green Giant®.
Please recycle.
Questions? 1-800-998-9996 Mon-Fri 7:30 a.m. - 5:30 p.m. CT.
See how we lock in freshness at www.greengiant.com.
©2011 General Mills.",1,CAN,15.25 OZ,,02/01/2012,02/17/2012
041789002113,10,9253,00041789002113,Maruchan Chicken Flavor Ramen Noodle Soup,"Maruchan, Inc.",Maruchan,,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,"Irvine, CA 92618",,,www.maruchan.com,,,,,,"Maruchan® Chicken Flavor Ramen Noodle Soup.
0grams trans fat.
See nutrition facts for sodium info.
Cooks in 3 minutes.","www.maruchan.com.
America's finest ramen noodle soups.
©Maruchan, Inc 2011.",1,PACKAGE,3.0 OZ,,02/17/2012,03/15/2012
613008725921,11,6302,00613008725921,AriZona Arnold Palmer Half & Half Iced Tea Lemonade - 12 PK,Arizona Beverages USA,Arizona,,(10000201) Drinks Flavoured Ready to Drink,,"Lake Success, NY 11042 USA",1-800-TEA-3775,,www.drinkarizona.com,,,,,,"Arizona?? Lite Half & Half Ice Tea Lemonade. 
No preservatives.
No artificial flavor.
No artificial color.
12-11.5 fl oz (138 fl oz) cans.
12 - 340 ml (4.08 L) cans.","Licensed under the authority of innovative flavors, L.L.C., Orlando FL 32825.
?? Beverage Marketing USA, Inc.
For more info about Arizona call 1-800 TEA 3775.
Check out our new exciting website www.drinkarizona.com.",1,BOX,138.0 FL OZ,,11/15/2011,12/05/2011
072350020274,12,92834,00072350020274,Yoo-hoo Chocolate Drink - 32 CT,Dr. Pepper Snapple Group,Yoo-hoo,,(10000192) Dairy/Dairy Substitute Based Drinks Ready to Drink (Shelf Stable),,,,,,Mott's LLP,"5301 Legacy Drive, Plano, TX 75024",1-800-966-4669,,www.yoo-hoo.com,"Yoo-Hoo® Chocolate Drink Family Pack.
Rich in calcium & vitamin D.
Good source of vitamins & minerals.
Shake it!
100 calories per box.
32 - 6.5 fl oz (192 ml) boxes 1.6 gal (6.15 L).","99% fat & caffeine free.
Yoo-Hoo is a registered trademark of Mott's LLP.
Consumer comments?
1-800-966-4669. 
www.yoo-hoo.com.
©2012 Mott's LLP.",1,BOX,6.5 FL OZ,,03/25/2013,04/09/2013
