Item UPC,Top 500,Image Count,ID,UPC,GS1 View,Image 1 Mime Type,Image 1 Date Added,Image 1 Source,Image 1 Description,Image 1 Path,Image 2 Mime Type,Image 2 Date Added,Image 2 Source,Image 2 Description,Image 2 Path,Image 3 Mime Type,Image 3 Date Added,Image 3 Source,Image 3 Description,Image 3 Path,Image 4 Mime Type,Image 4 Date Added,Image 4 Source,Image 4 Description,Image 4 Path,Image 5 Mime Type,Image 5 Date Added,Image 5 Source,Image 5 Description,Image 5 Path,Image 6 Mime Type,Image 6 Date Added,Image 6 Source,Image 6 Description,Image 6 Path,Image 7 Mime Type,Image 7 Date Added,Image 7 Source,Image 7 Description,Image 7 Path,Image 8 Mime Type,Image 8 Date Added,Image 8 Source,Image 8 Description,Image 8 Path,Image 9 Mime Type,Image 9 Date Added,Image 9 Source,Image 9 Description,Image 9 Path
049200045503,1,1,6792,00049200045503,A1C1,image/tga,02/28/2012,ITEMMASTER,Planogram Front,http://media.itemmaster.com:80////0/0/0/327/e69e989f-e308-413b-b600-4ec80e926220.tga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049200045503,1,1,6792,00049200045503,A2C1,image/tga,02/28/2012,ITEMMASTER,Planogram Left,http://media.itemmaster.com:80////0/0/0/327/34f08df1-36b9-4dca-b4bb-3f39204242dd.tga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049200045503,1,1,6792,00049200045503,A3C1,image/tga,02/28/2012,ITEMMASTER,Planogram Top,http://media.itemmaster.com:80////0/0/0/327/1db8f7dd-1c8e-4921-a9b9-2a8c725ee36a.tga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049200045503,1,1,6792,00049200045503,A7C1,image/tga,02/28/2012,ITEMMASTER,Planogram Back,http://media.itemmaster.com:80////0/0/0/327/a0d3b3e5-d404-4d00-8610-91eecb1b0679.tga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049200045503,1,1,6792,00049200045503,A8C1,image/tga,02/28/2012,ITEMMASTER,Planogram Right,http://media.itemmaster.com:80////0/0/0/327/b9d2ac52-0086-4041-ba4d-f9a1858368aa.tga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049200045503,1,1,6792,00049200045503,A9C1,image/tga,02/28/2012,ITEMMASTER,Planogram Bottom,http://media.itemmaster.com:80////0/0/0/327/11f86c36-f91f-411c-b141-f93b6e0f1f63.tga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049200045503,1,9,6792,00049200045503,A1R1,image/tiff,02/28/2012,ITEMMASTER,Advertising Front Side Right Angle,http://media.itemmaster.com:80////0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.tif,image/jpeg,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (50x50) image/jpeg,http://media.itemmaster.com:80///0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.jpg?originalFormat=tif&size=50x50,image/png,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (50x50) image/png,http://media.itemmaster.com:80///0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.png?originalFormat=tif&size=50x50,image/jpeg,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (150x150) image/jpeg,http://media.itemmaster.com:80///0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.jpg?originalFormat=tif&size=150x150,image/png,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (150x150) image/png,http://media.itemmaster.com:80///0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.png?originalFormat=tif&size=150x150,image/jpeg,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (200x200) image/jpeg,http://media.itemmaster.com:80///0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.jpg?originalFormat=tif&size=200x200,image/png,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (200x200) image/png,http://media.itemmaster.com:80///0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.png?originalFormat=tif&size=200x200,image/jpeg,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (600x600) image/jpeg,http://media.itemmaster.com:80///0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.jpg?originalFormat=tif&size=600x600,image/png,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Right Angle (600x600) image/png,http://media.itemmaster.com:80///0/0/0/327/b18126b0-e438-4cb4-9d98-b5a83379f902.png?originalFormat=tif&size=600x600
049200045503,1,9,6792,00049200045503,A1L1,image/tiff,02/28/2012,ITEMMASTER,Advertising Front Side Left Angle,http://media.itemmaster.com:80////0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.tif,image/jpeg,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (50x50) image/jpeg,http://media.itemmaster.com:80///0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.jpg?originalFormat=tif&size=50x50,image/png,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (50x50) image/png,http://media.itemmaster.com:80///0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.png?originalFormat=tif&size=50x50,image/jpeg,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (150x150) image/jpeg,http://media.itemmaster.com:80///0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.jpg?originalFormat=tif&size=150x150,image/png,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (150x150) image/png,http://media.itemmaster.com:80///0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.png?originalFormat=tif&size=150x150,image/jpeg,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (200x200) image/jpeg,http://media.itemmaster.com:80///0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.jpg?originalFormat=tif&size=200x200,image/png,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (200x200) image/png,http://media.itemmaster.com:80///0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.png?originalFormat=tif&size=200x200,image/jpeg,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (600x600) image/jpeg,http://media.itemmaster.com:80///0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.jpg?originalFormat=tif&size=600x600,image/png,02/28/2012,ITEMMASTER,E-Commerce Advertising Front Side Left Angle (600x600) image/png,http://media.itemmaster.com:80///0/0/0/327/c2ade2b7-5928-4ab8-94fc-26607618a14b.png?originalFormat=tif&size=600x600
043032022084,2,1,108204,00043032022084,A1C1,image/png,07/31/2013,ITEMMASTER,Planogram Front,http://media.itemmaster.com:80////0/0/0/365/f28cec37-26ea-4de0-b675-1e48160bc3ee.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043032022084,2,1,108204,00043032022084,A2C1,image/png,07/31/2013,ITEMMASTER,Planogram Left,http://media.itemmaster.com:80////0/0/0/365/f4005081-a9c0-44d4-b5a8-8c9a6dccf409.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
