Item UPC,Top 500,ID,UPC,Product ID,Sequence,Nutrition Title,Number Of Servings,Serving Size,Serving Size UOM,Serving Size - full,RACC,RACC UOM,Energy,Total Fat,Total Fat UOM,Daily Pct Total Fat,Saturated Fat,Saturated Fat UOM,Saturated Fat Calories,Calories From Fat,Daily Pct Saturated Fat,Polyunsaturated Fat,Polyunsaturated Fat UOM,Daily Pct Polyunsaturated Fat,Monounsaturated Fat,Monounsaturated Fat UOM,Daily Pct Monounsaturated Fat,Trans Fat,Trans Fat UOM,Cholesterol,Cholesterol UOM,Daily Pct Cholesterol,Sodium,Sodium UOM,Daily Pct Sodium,Potassium,Potassium UOM,Daily Pct Potassium,Carbohydrates,Carbohydrates UOM,Daily Pct Carbohydrates,Dietary Fiber,Dietary Fiber UOM,Daily Pct Dietary Fiber,Soluable Fiber,Soluable Fiber UOM,InSoluable Fiber,InSoluable Fiber UOM,Sugars,Sugars UOM,Sugar Alchohol,Sugar Alchohol UOM,Other Carbohydrates,Other Carbohydrates UOM,Protein,Protein UOM,Daily Pct Protein,Daily Pct Vitamin A,Daily Pct Vitamin B12,Daily Pct Vitamin B6,Daily Pct Vitamin C,Daily Pct Vitamin D,Daily Pct Vitamin E,Daily Pct Calcium,Daily Pct Iron,Daily Pct Copper,Daily Pct Folic Acid,Daily Pct Iodine,Daily Pct Zinc,Daily Pct Magnesium,Daily Pct Niacin,Daily Pct Phosphorous,Daily Pct Riboflavin,Daily Pct Thiamin
049200045503,1,6792,00049200045503,18ebd290-574a-11e1-b1b2-005056957023,1,,454,1.0,tsp,,0.0,BAR,15,0,g,0,,kg,,,,,kg,,,kg,,,kg,,kg,,0,mg,0,,kg,,4,g,1,,kg,,,kg,,kg,4,g,,kg,,kg,0,g,,,,,,,,,,,,,,,,,,
072940756002,3,106724,00072940756002,88226310-e414-11e2-a629-005056ab0051,,,13,61.0,g,,,,20,0,g,0,0,g,,0,0,,,,,,,0,g,0,mg,0,130,mg,5,,,,4,g,1,1,g,4,,,,,2,g,,,,,0,g,,6,,,10,,,0,4,,,,,,,,,
300871365421,5,131127,00300871365421,5adbc9a0-6768-11e3-bea2-005056ab0051,,,-,5.0,fl oz,,,,,5.3,g,,,,,,,,,,,,,,,,,,27,mg,,108,mg,,11.2,g,,,,,,,,,,,,,,,2.1,g,,,,,,,,,,,,,,,,,,
016000106109,6,20824,00016000106109,57a6dc50-53fd-11e1-aec1-005056957023,1,,75,0.25,c,,0.0,BAR,100,0,g,0,,kg,,,,,kg,,,kg,,,kg,,kg,,0,mg,0,40,mg,1,22,g,7,less than 1,g,2,,kg,,kg,less than 1,g,,kg,21,g,3,g,,,,,,,,,6,,10,,,,8,,6,10
031200016058,8,17809,00031200016058,499fd7c0-616c-11e1-9033-005056957023,1,,5.5,0.25,c,,0.0,BAR,110,0,g,0,0,g,,0,0,,kg,,,kg,,,kg,,kg,,10,mg,0,,kg,,25,g,8,Less than 1g,g,2,,kg,,kg,21,g,,kg,,kg,0,g,,,,,,,,,,,,,,,,,,
020000104737,9,35899,00020000104737,965eb010-4cf2-11e1-a2c8-005056957023,,,3.5,0.5,c,Serving size 1/2 cup (123g),,,60,0.5,g,1,0,g,,5,0,,,,,,,0,g,0,mg,0,330,mg,14,,,,11,g,4,2,g,8,,,,,5,g,,,,,2,g,,0,,,0,,,0,0,,,,,,,,,
041789002113,10,9253,00041789002113,24a10c50-599c-11e1-9089-005056957023,,,2,0.5,block of noodles,Serving size 1/2 block of noodles with seasoning (43g),,,190,7,g,11,3.5,g,,70,18,,,,,,,0,g,0,mg,0,830,mg,35,,,,26,g,9,1,g,3,,,,,1,g,,,,,4,g,,,,,0,,,,10,,,,,,,,,
613008725921,11,6302,00613008725921,1a092320-0fb1-11e1-9532-005056957023,,,12,1.0,can,Serving size 1 can,,,80,0,g,0,0,g,,0,0,,,,,,,0,g,0,mg,0,15,mg,1,,,,21,g,7,0,g,0,,,,,19,g,,,,,0,g,0,0,,,25,,,0,0,,,,,,,,,
072350020274,12,92834,00072350020274,b4f0cde0-9587-11e2-a97b-005056ab0051,,,32,1.0,box,,,,100,1,g,2,0,g,,5,0,,,,,,,0,g,0,mg,0,150,mg,6,190,mg,5,22,g,7,0,g,0,,,,,19,g,,,,,1,g,,10,,,0,25,,25,0,,,,,,8,15,10,
054000150296,13,73394,00054000150296,5adfa2a0-0977-11e2-bf23-005056ab0051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
