Item UPC,Top 500,ID,UPC,Height,Width,Length,Weight,Dry Weight,Net Weight,Depth Count,Width Count,Height Count,Depth Nesting,Vertical Nesting,Display Depth,Display Height,Display Width,Division Name,Dual Nesting,Multiple Shelf Facings,Peg Down,Peg Right,Tray Count,Tray depth,Tray height,Tray Width,Shelf Man Flag
049200045503,1,6792,00049200045503,8.0 IN,4.9 IN,4.2 IN,4.04 LB,,4.0 LB,,,,,,,,,,,,,,,,,,
043032022084,2,108204,00043032022084,8.48 IN,22.0 IN,8.87 IN,7.45 LB,,,,,,,,,,,,,,,,,,,,
072940756002,3,106724,00072940756002,4.65 IN,3.99 IN,3.99 IN,1.975 LB,,28.0 OZ,,,,,,,,,,,,,,,,,,
300871365421,5,131127,00300871365421,4.419 IN,4.103 IN,4.103 IN,0.92 LB,,,,,,,,,,,,,,,,,,,,
016000106109,6,20824,00016000106109,8.6 IN,6.15 IN,4.7 IN,5.0 LB,,5.0 LB,,,,,,,,,,,,,,,,,,
031200016058,8,17809,00031200016058,3.95 IN,2.9 IN,2.95 IN,0.99 LB,,14.0 OZ,,,,,,,,,,,,,,,,,,
020000104737,9,35899,00020000104737,4.35 IN,2.9 IN,2.9 IN,1.08 LB,,15.25 OZ,,,,,,,,,,,,,,,,,,
041789002113,10,9253,00041789002113,4.8 IN,6.05 IN,1.45 IN,0.16 LB,,,,,,,,,,,,,,,,,,,,
613008725921,11,6302,00613008725921,7.85 IN,10.7 IN,4.95 IN,9.805 LB,,,,,,,,,,,,,,,,,,,,
072350020274,12,92834,00072350020274,8.374 IN,13.107 IN,5.122 IN,15.3 LB,,,,,,,,,,,,,,,,,,,,
054000150296,13,73394,00054000150296,8.2 IN,23.25 IN,9.3 IN,8.1 LB,,,,,,,,,,,,,,,,,,,,
043000009536,14,52861,00043000009536,2.75 IN,6.0 IN,6.0 IN,0.58 LB,,8.0 OZ,,,,,,,,,,,,,,,,,,
027700548748,15,89250,00027700548748,8.16 IN,8.09 IN,1.74 IN,0.0 LB,,,,,,,,,,,,,,,,,,,,
031200200075,16,12585,00031200200075,10.25 IN,4.7 IN,3.55 IN,4.42 LB,,,,,,,,,,,,,,,,,,,,
027700548816,17,89251,00027700548816,8.15 IN,8.07 IN,1.74 IN,0.0 LB,,27.0 OZ,,,,,,,,,,,,,,,,,,
077567254238,18,24617,00077567254238,4.8 IN,6.85 IN,4.1 IN,1.79 LB,,,,,,,,,,,,,,,,,,,,
071300000809,19,44820,00071300000809,4.25 IN,10.65 IN,2.6 IN,1.23 LB,,1.0 LB,,,,,,,,,,,,,,,,,,
054000100604,22,72752,00054000100604,8.2 IN,14.1 IN,9.4 IN,4.86 LB,,,,,,,,,,,,,,,,,,,,
611443340013,23,56651,00611443340013,7.85 IN,3.85 IN,2.5 IN,2.205 LB,,32.0 FL OZ,,,,,,,,,,,,,,,,,,
072940757016,24,106725,00072940757016,4.65 IN,3.99 IN,3.99 IN,1.985 LB,,28.0 OZ,,,,,,,,,,,,,,,,,,
070662010037,25,47796,00070662010037,4.9 IN,5.45 IN,1.5 IN,0.21 LB,,2.0 OZ,,,,,,,,,,,,,,,,,,
071300000359,26,32597,00071300000359,7.1 IN,4.9 IN,2.08 IN,1.04 LB,,1.0 LB,,,,,,,,,,,,,,,,,,
027000690611,27,76472,00027000690611,11.68 IN,6.52 IN,5.34 IN,7.91 LB,,,,,,,,,,,,,,,,,,,,
041196010886,28,52028,00041196010886,4.35 IN,3.3 IN,3.3 IN,1.385 LB,,19.0 OZ,,,,,,,,,,,,,,,,,,
027000612323,29,76471,00027000612323,11.65 IN,6.51 IN,5.4 IN,7.95 LB,,,,,,,,,,,,,,,,,,,,
048000000958,30,82831,00048000000958,1.32 IN,3.35 IN,3.35 IN,0.39 LB,,5.0 OZ,,,,,,,,,,,,,,,,,,
019600046301,31,39296,00019600046301,7.17 IN,7.17 IN,1.2 IN,0.387 LB,,5.08 OZ,,,,,,,,,,,,,,,,,,
014500010995,32,21067,00014500010995,6.7 IN,7.55 IN,1.6 IN,0.77 LB,,12.0 OZ,,,,,,,,,,,,,,,,,,
072521049608,33,83949,00072521049608,9.8 IN,3.35 IN,3.35 IN,2.27 LB,,,,,,,,,,,,,,,,,,,,
019600046103,34,5783,00019600046103,7.17 IN,7.17 IN,1.2 IN,0.382 LB,,5.0 OZ,,,,,,,,,,,,,,,,,,
072940754008,35,106726,00072940754008,4.65 IN,3.99 IN,3.99 IN,1.965 LB,,28.0 FL OZ,,,,,,,,,,,,,,,,,,
014800000344,37,90203,00014800000344,9.6 IN,4.7 IN,4.65 IN,4.545 LB,,,,,,,,,,,,,,,,,,,,
070230107206,38,97873,00070230107206,19.636 IN,12.139 IN,5.575 IN,19.795 LB,,20.0 LB,,,,,,,,,,,,,,,,,,
041789001215,39,57451,00041789001215,4.2 IN,3.7 IN,3.6 IN,0.185 LB,,2.25 OZ,,,,,,,,,,,,,,,,,,
017800149150,41,46082,00017800149150,22.1 IN,15.5 IN,6.15 IN,18.85 LB,,18.5 LB,,,,,,,,,,,,,,,,,,
071300000083,42,29539,00071300000083,2.7 IN,10.85 IN,1.4 IN,1.05 LB,,1.0 LB,,,,,,,,,,,,,,,,,,
070662030035,43,34410,00070662030035,4.3 IN,3.7 IN,3.7 IN,0.19 LB,,2.25 OZ,,,,,,,,,,,,,,,,,,
050000010110,44,18598,00050000010110,3.8 IN,2.9 IN,2.95 IN,0.93 LB,,12.0 FL OZ,,,,,,,,,,,,,,,,,,
761720058206,45,101300,00761720058206,11.463 IN,6.542 IN,5.016 IN,7.965 LB,,,,,,,,,,,,,,,,,,,,
014500011282,47,112698,00014500011282,5.86 IN,7.93 IN,0.81 IN,0.77 LB,,12.0 OZ,,,,,,,,,,,,,,,,,,
613008720858,48,42364,00613008720858,10.2 IN,7.25 IN,5.45 IN,8.985 LB,,,,,,,,,,,,,,,,,,,,
761720058596,49,80676,00761720058596,10.87 IN,6.38 IN,4.42 IN,5.98 LB,,,,,,,,,,,,,,,,,,,,
041789002311,50,33311,00041789002311,8.4 IN,10.65 IN,4.55 IN,1.19 LB,,,,,,,,,,,,,,,,,,,,
041196010329,51,4416,00041196010329,4.35 IN,3.3 IN,3.3 IN,1.33 LB,,19.0 OZ,,,,,,,,,,,,,,,,,,
013800103406,52,57756,00013800103406,5.1 IN,6.85 IN,1.5 IN,0.84 LB,,12.0 OZ,,,,,,,,,,,,,,,,,,
013000799102,53,55584,00013000799102,4.9 IN,2.75 IN,2.75 IN,1.16 LB,,12.0 OZ,,,,,,,,,,,,,,,,,,
014500011008,55,58344,00014500011008,6.55 IN,7.8 IN,1.6 IN,0.77 LB,,12.0 OZ,,,,,,,,,,,,,,,,,,
037297914475,56,80703,00037297914475,9.2 IN,5.56 IN,3.95 IN,4.33 LB,,,,,,,,,,,,,,,,,,,,
027700548434,57,104945,00027700548434,8.24 IN,8.11 IN,1.68 IN,1.87 LB,,27.0 OZ,,,,,,,,,,,,,,,,,,
611443345032,58,79472,00611443345032,7.9 IN,3.7 IN,2.42 IN,2.2 LB,,,,,,,,,,,,,,,,,,,,
074471000500,59,81096,00074471000500,5.555 IN,4.037 IN,4.037 IN,0.905 LB,,10.0 OZ,,,,,,,,,,,,,,,,,,
