Item UPC,Top 500,ID,UPC,Product ID,Sequence,Manufacturer,Distributor,Brand,Product Description,Product Size,Drug Interactions,Directions,Indications,Ingredients,Vitamin and Minerals,Low Fat,Low Sodium,Fat Free,Sugar Free,Good Source of Fiber,Vegan,Vegetarian,Lactose Fre,Flavor,Antibiotic Free,Temperature Indicator,Wheat Free,Gluten Free,Hormone Free,Natural,Nitrates Free,Nitrites Free,Organic,Peanut Free,Ready to Cook,Ready to Heat,Dairy Free,Egg Free,Kosher Codes,Recycle Codes,NDC Code,Country of Origin
049200045503,1,6792,00049200045503,18ebd290-574a-11e1-b1b2-005056957023,1,"Domino Foods, Inc.",,Domino,Domino Premium Pure Cane Granulated Sugar,,,Quality maintained indefinitely if tightly closed and stored in a dry place.,,Ingredient: Sugar.,,,,,,,,,,,,,,,,,,,,,,,,,"2,15",Y,,
043032022084,2,108204,00043032022084,53d49fe0-efec-11e2-ac9c-005056ab0051,1,Marcal Manufacturing LLC,,Marcal,Marcal Small Steps Bath Tissue - 20 CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,USA
072940756002,3,106724,00072940756002,88226310-e414-11e2-a629-005056ab0051,1,Red Gold Inc.,Red Gold LLC.,Tuttorosso,Tuttorosso New World Style Crushed Tomatoes with Basil,,,,,"Crushed Tomatoes (Water, Concentrated Crushed Tomatoes), Salt, Citric Acid, Basil.",,,,Y,,,,,,,,Shelf Stable,,Y,,Y,,,,,,,,,1,Y,,
300871365421,5,131127,00300871365421,5adbc9a0-6768-11e3-bea2-005056ab0051,1,"Mead Johnson & Company, LLC.",,Enfamil,Enfamil Premium Infant Formula 0 - 12 Months,,,"Instructions for preparation & use:
Your baby's health depends on carefully following the instructions below. Proper hygiene, preparation, dilution, use and storage are important when preparing infant formula. Powdered infant formulas are not sterile and should not be fed to premature infants or infants who might have immune problems unless directed and supervised by your baby's doctor.
Ask your baby's doctor which formula is appropriate for your baby.
Ask your baby's doctor about the need to use cooled, boiled water for mixing and the need to boil clean utensils, bottles and nipples in water before use.
1. Wash hands thoroughly with soap and water before preparing formula.
2. Pour desired amount of water into the bottle. Add powder.
3. Cap bottle and shake well.
Use the chart below for correct amounts of water and powder. Use scoop in can to measure powder. Store dry scoop in this can.
To make** - water - powder.
2 fl oz bottle - 2 fl oz - 1 unpacked level scoop - (8.8g).
4 fl oz bottle - 4 fl oz - 2 unpacked level scoops - (17.6g).
8 fl oz bottle - 8 fl oz - 4 unpacked level scoops - (35.2g).
**Each shop adds about 0.2 n oz to the amount of prepared formula.
Failure to follow these instructions could result in severe harm. Once prepared, infant formula can spoil quickly. Either feed immediately or cover and store in refrigerator at 35-40 degrees F (2-4 degrees C) for no longer than 24 hours. Do not use prepared formula if it is unrefrigerated for more than a total of 2 hours. Do not freeze prepared formula. After feeding begins, use formula within one hour or discard.
Powder Storage:
Store cans at room temperature. After opening can, keep tightly covered, store in dry area and use contents within 1 month. Do not freeze powder and avoid excessive heat.",,"Nonfat Milk, Lactose, Vegetable Oil (Palm Olein, Coconut, Soy, and High Oleic Sunflower Oils), Whey Protein Concentrate, Galactooligosaccharides*, Polydextrose*, and less than 1%: Mortierella Alpina Oil**, Crypthecodinium Cohnii Oil†, Calcium Carbonate, Potassium Citrate, Ferrous Sulfate, Potassium Chloride, Magnesium Oxide, Sodium Chloride, Zinc Sulfate, Cupric Sulfate, Manganese Sulfate, Sodium Selenite, Soy Lecithin, Choline Chloride, Ascorbic Acid, Niacinamide, Calcium Pantothenate, Vitamin A Palmitate, Vitamin B12, Vitamin D3, Riboflavin, Thiamin Hydrochloride, Vitamin B6, Hydrochloride, Folic Acid, Vitamin K1, Biotin, Inositol, Vitamin E Acetate, Nucleotides (Cytidine 5'-Monophosphate, Disodium Uridine 5'-Monophosphate Adenosine 5'-Monophosphate, Disodium Guanosine 5'-Monophosphate), Taurine, L-Carnitine.","Water-133g--, Linoleic Acid-860mg--.
Vitamins:
Vitamin A-300IU-, Vitamin D-60IU-, Vitamin E-2IU-, Vitamin K-9mcg-, Thiamin (B1)-80mcg-, Riboflavin (B2)-140mcg-, Vitamin B6-60mcg-, Vitamin B12-0.3mcg-, Niacin-1000mcg-,Folic Acid-16mcg-,Pantothenic Acid-500mcg-, Biotin-3mcg-, Vitamin C-12mg-, Choline-24mg-, Inositol-6mg-.
Minerals:
Calcium- 78mg-, Phosphorus- 43mg-, Magnesium-8mg-, Iron-1.8mg-, Zinc-1mg-, Manganese-15mcg-, Copper-75mcg-, Iodine-15mcg-, Selenium-2.8mcg-, Chloride-63mg-.",,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,"1,13",,,
016000106109,6,20824,00016000106109,57a6dc50-53fd-11e1-aec1-005056957023,1,"General Mills, Inc.","General Mills Sales, Inc.",Gold Medal,Gold Medal All-Purpose Flour,,,"Gold Medal® flour tips.
How to store flour.
Store flour in an airtight container in a cool, dry place. For longer storage, place bag in a food-storage plastic bag, seal tightly and refrigerate or freeze. Bring flour to room temperature before using.
How to measure flour.
Spoon flour into a dry measuring cup and level off with a knife. No sifting necessary.
How to substitute flour.
All-purpose flour can be used in recipes calling for self-rising flour. For each cup of flour in the recipe, add 1 1/2 teaspoons baking powder and 1/2 teaspoon salt.
Cups per pound.
There are 3 1/3 cups of flour per pound and about 17 cups per 5-lb bag.
Do not eat raw dough or batter.",,"Wheat Flour, Malted Barley Flour, Niacin (A B Vitamin), Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid (A B Vitamin).",,,,,,,,,,,,,,,,,,,,,,,,,1,,,
031200016058,8,17809,00031200016058,499fd7c0-616c-11e1-9033-005056957023,1,"Ocean Spray Cranberries, Inc.","Ocean Spray Cranberries, Inc.",Ocean Spray,Ocean Spray Jellied Cranberry Sauce,,,"To remove product intact, insert a flat knife between the cranberry log and back of the can to release the vacuum seal, invert and shake.
For best quality use before date stamped on bottom of can.",,"Cranberries, High Fructose Corn Syrup, Corn Syrup, Water.",,,,,,,,,,,,,,,,,,,,,,,,,14,,,USA
020000104737,9,35899,00020000104737,965eb010-4cf2-11e1-a2c8-005056957023,1,"General Mills, Inc.","General Mills Sales, Inc.",Green Giant,Green Giant Whole Kernal Sweet Corn,,,"Stove-top:
Heat just to boiling; drain, if desired.
Microwave:
Heat in covered microwavable dish on high 2 1/2 to 3 1/2 minutes; drain, if desired.
Refrigerate leftovers.",,"Golden Whole Kernel Corn, Water, Salt.",,,,,,,,,,,,,,,,,,,,,,,,,1,Y,,
041789002113,10,9253,00041789002113,24a10c50-599c-11e1-9089-005056957023,1,"Maruchan, Inc.",,Maruchan,Maruchan Chicken Flavor Ramen Noodle Soup,,,"Cooking directions:
1. Boil 2 cups of water in a saucepan, add noodles and cook 3 mins. Stirring occasionally.
2. Turn off heat, add contents of seasoning package, stir well for 1 min.
3. Serve when the seasoning is fully dissolved. Makes 2, 8oz servings.",,"Ramen Noodle: Enriched Wheat Flour , (Wheat Flour , Niacin , Reduced Iron , Thiamine Mononitrate , Riboflavin , Folic Acid) , Vegetable Oil (Preserved by TBHQ. Contains one or more of the following) , (Canola , Canola , Cottonseed , Cottonseed , Palm , Palm) , Ramen Noodle Contains Less Than 1% of: Salt , Soy Sauce , (Water , Wheat , Soybeans , Salt) , Potassium Carbonate , Sodium Phosphate , Sodium Carbonate , Turmeric , Soup Base: Salt , Monosodium Glutamate , Sugar , Soup Base Contains Less Than 1% of: Maltodextrin , Hydrolyzed Corn , Wheat and Soy Protein , Spices (Celery Seed) , Dehydrated Vegetables , (Garlic , Onion , Chive) , Natural Flavors , Turmeric , Disodium Inosinate , Disodium Guanylate , Powdered Cooked Chicken , Cabbage Extract , Lactose",,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
613008725921,11,6302,00613008725921,1a092320-0fb1-11e1-9532-005056957023,1,Arizona Beverages USA,,Arizona,AriZona Arnold Palmer Half & Half Iced Tea Lemonade - 12 PK,,,Shake well.,,"Premium Brewed Blend Of Black Teas Using Filtered Water, High Fructose Corn Syrup (Glucose - Fructose Syrup), Lemon Juice from Concentrate, Pear Juice from Concentrate, Citric Acid, Vitamin C, Natural Flavors, Sucralose (Splenda Brand), Acesulfame Potassium, Gum Acacia.
No Preservatives. No Artificial Flavor. No Artificial Color.",,,,,,,,,,,,,,,,,,,,,,,,,1,,,
072350020274,12,92834,00072350020274,b4f0cde0-9587-11e2-a97b-005056ab0051,1,Dr. Pepper Snapple Group,,Yoo-hoo,Yoo-hoo Chocolate Drink - 32 CT,,,Refrigerate after opening.,,"Water, High Fructose Corn Syrup, Whey (from Milk), contains less than 2% of: Cocoa (Alkali Process), Nonfat Dry Milk, Natural and Artificial Flavors, Sodium Caseinate (from Milk), Corn Syrup Solids, Calcium Phosphate, Dipotassium Phosphate, Palm Oil, Guar Gum, Xanthan Gum, Mono and Diglycerides, Salt, Spice, Soy Lecithin, Niacinamide (Vitamin B3), Sucralose, Vitamin A Palmitate, Riboflavin (Vitamin B2), Vitamin D3.",,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,"2,13",,,
054000150296,13,73394,00054000150296,5adfa2a0-0977-11e2-bf23-005056ab0051,1,"Kimberly-Clark Global Sales, LLC.",,Scott,SCOTT Bath Tissue White Bundle Pack 20-Pack 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043000009536,14,52861,00043000009536,dcb19e70-71db-11e1-bae2-005056ab0051,1,"Kraft Foods, Inc.","Kraft Foods Global, Inc.",Kraft,Kraft Cool Whip Original Whipped Topping,,,"To Thaw: Place unopened tub in refrigerator for 4 hours.
Do not stir.
Storage: Keeps fresh in refrigerator 2 weeks. May be refrozen for longer storage.
For Best Results: Do not thaw cool whip on countertop or in microwave. Excessive stirring or heat will cause product to soften and become watery.
Package Yield: About 3 Cups.
Package not intended for microwave use freshness date on bottom of container.",,"Ingredients; Water, Hydrogenated Vegetable Oil (Coconut and Palm Kernel Oils), High Fructose Corn Syrup, Corn Syrup, Skim Milk, Light Cream, contains less than 2% of Sodium Caseinate, Natural and Artificial Flavor, Xanthan and Guar Gums, Polysorbate 60, Sorbitan Monostearate, Beta Carotene (Color).",,,,,,,,,,,,,,,,,,,,,,,,,"2,13",5,,
027700548748,15,89250,00027700548748,7f87a590-7b81-11e2-b594-005056ab0051,1,The Schwan Food Company,,Mrs. Smith's,Mrs. Smith's Classic Apple Pie,,,"Keep frozen until ready to enjoy!
Bake before serving.
Preparation instructions:
For food safety and quality cook before eating to an internal temperature of 160 degrees F.
Keep frozen until ready to bake.
1. Remove pie from freezer. Place oven rack in center position. Preheat oven to 350 degrees F.
2. Remove frozen pie from box, and remove plastic overwrap from pie. Do not remove pie from original pan. Open center hole of pie and cut 4 to 6 slits in top crust.
3. Center frozen pie on a cookie sheet lined with aluminum foil, and place in preheated oven.
4. Bake pie for 55 to 65 minutes until crust is golden brown.
5. Remove pie on cookie sheet from oven using oven mitts. Never handle by edge of pie pan.
6. Serve warm in 30 minutes or cooled after 2 hours. Pies are best when freshly baked.
Store loosely covered at room temperature for up to 3 days.
For a golden, shiny, crispier crust, beat one egg with a whisk and apply with a pastry brush to top crust of pie prior to baking.
Please note: baking pie on cookie sheet helps crust to bake more evenly. Because ovens vary, adjust time and temperature as necessary.",,"Filling: Sliced Apples, Corn Syrup, Water, Brown Sugar, Modified Food Starch, contains 2% or less of: Spice, Salt, Citric Acid, Ascorbic Acid, preserved with Sodium Benzoate. Crust: Wheat Flour, Vegetable Shortening (Palm Oil and Soybean Oil with Mono- and Diglycerides), Water, contains 2% or less of: Dextrose, Salt, Citrus Fiber, Whey, Baking Soda, Bleached Wheat Flour With Malted Barley, preserved with Potassium Sorbate.",,,,,,,,,,,,Frozen,,,,,,,,,,,,,"1,13",,,
031200200075,16,12585,00031200200075,34eea5d0-bfa1-11e0-935b-005056957023,1,"Ocean Spray Cranberries, Inc.","Ocean Spray Cranberries, Inc.",Ocean Spray,Ocean Spray Cranberry Juice Cocktail from Concentrate,,,"For best quality and freshness use within two weeks after opening.
Please recycle.",,"Filtered Water, Cranberry Juice from Concentrate, Cane or Beet Sugar, Ascorbic Acid (Vitamin C).",,,,,,,,,,,,,,,,,,,,,,,,,14,1,,USA
