Item UPC,Top 500,ID,UPC,Product ID,Warning
043032022084,2,108204,00043032022084,53d49fe0-efec-11e2-ac9c-005056ab0051,"Warning: to avoid danger of injury or suffocation, keep this plastic packaging away from babies & children."
300871365421,5,131127,00300871365421,5adbc9a0-6768-11e3-bea2-005056ab0051,Do not use a microwave oven to warm formula. Serious burns may result.
041789002113,10,9253,00041789002113,24a10c50-599c-11e1-9089-005056957023,"Contains wheat, soy and milk ingredients.
Manufactured in a facility that also processes shellfish and fish products.
Do not purchase if bag is open or torn."
072350020274,12,92834,00072350020274,b4f0cde0-9587-11e2-a97b-005056ab0051,"Contains: milk, soy."
054000150296,13,73394,00054000150296,5adfa2a0-0977-11e2-bf23-005056ab0051,"WARNING: To avoid danger of suffocation, keep this bag away from babies and children."
043000009536,14,52861,00043000009536,dcb19e70-71db-11e1-bae2-005056ab0051,Contains: Milk.
027700548748,15,89250,00027700548748,7f87a590-7b81-11e2-b594-005056ab0051,Contains: wheat and milk.
031200200075,16,12585,00031200200075,34eea5d0-bfa1-11e0-935b-005056957023,Safety cap: only purchase this product if the cap and neckband are intact.
027700548816,17,89251,00027700548816,6b254b20-7b81-11e2-b594-005056ab0051,"Contains: wheat, eggs, and milk."
071300000809,19,44820,00071300000809,b66e2d70-9ea2-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
054000100604,22,72752,00054000100604,4755b3e0-00d1-11e2-b3e9-005056ab0051,"WARNING: To avoid danger of suffocation, keep this bag away from babies and children."
611443340013,23,56651,00611443340013,ea7c8cd0-c75a-11e0-bffd-005056957023,"Do not microwave this carton. Do not buy if opened or punctured.
Allergen watch:
We strive to reduce the risk of allergen reactions by specifying that our ingredients must not contain *milk, *egg, *peanuts, *gluten, soy, tree nuts, fish, shellfish or corn. We do not autolyze, hydrolyze, add or produce MSG.
*Allergen tested.
To review our allergen policies, visit www.kitchenbasics.net and discuss with your allergist."
070662010037,25,47796,00070662010037,c8afc3a0-6fa3-11e1-a10c-005056ab0051,"Contains: Wheat and Soybean.
Manufactured in a facility that also processes Egg, Milk, Peanut, Tree Nuts, Crustacean Shellfish, and Fish Products.
Do not purchase if bag is open or torn."
071300000359,26,32597,00071300000359,87e70b00-9e9f-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
027000690611,27,76472,00027000690611,792a8140-196b-11e2-9a8a-005056ab0051,"Caution: oil will burn if overheated. Do not leave unattended while heating. If oil smokes, reduce heat. If oil catches fire. Turn off heat and cover pot until cooled. Do not pour water on hot or flaming oil. Do not pour hot oil back into this plastic container."
